CODIGO_CLIENTE,RENDA,UF,QT_DIAS_ATRASO
5695,1800.0,MT,202
5705,3000.0,GO,531
5711,3600.0,MT,191
5727,2500.0,GO,113
5994,2000.0,BA,2220
6078,3500.0,SP,249
6229,3000.0,GO,456
6248,2000.0,GO,332
6250,2000.0,GO,223
6254,1200.0,MG,245
6267,2000.0,MA,131
6288,1680.0,GO,28
6597,1413.8,DF,2200
6613,4000.0,DF,131
6614,3000.0,DF,131
6644,6000.0,DF,183
6662,2333.0,DF,1256
6676,30000.0,DF,507
6679,15000.0,DF,404
6694,6587.0,SP,2161
6695,15000.0,DF,404
6704,3000.0,DF,2185
6751,2500.0,DF,141
6752,5000.0,DF,383
6772,2900.0,DF,221
6780,1800.0,GO,140
6794,3000.0,DF,155
6798,8000.0,DF,2149
6799,2400.0,GO,435
6815,2000.0,GO,245
6823,2500.0,DF,186
6831,3500.0,GO,2120
6837,3000.0,GO,221
6847,8000.0,DF,161
6852,3200.0,DF,136
6868,11000.0,DF,282
6869,5800.0,GO,218
6872,7500.0,DF,2130
6874,2000.0,GO,165
6875,2000.0,DF,223
6876,910.0,DF,249
6881,2000.0,DF,2150
6883,10000.0,DF,540
6885,10000.0,DF,540
6889,5000.0,GO,218
6899,2400.0,GO,222
6903,5300.0,GO,141
6908,2500.0,GO,261
6909,4600.0,GO,2148
6913,3100.0,GO,625
6916,2500.0,GO,173
6924,2800.0,MG,680
6926,2500.0,DF,1259
6932,1500.0,DF,2123
6940,3000.0,DF,129
6953,1005.0,DF,2136
6954,1950.0,DF,2144
6981,2200.0,GO,76
7002,1800.0,GO,1017
7005,3000.0,GO,382
7012,5200.0,GO,147
7016,3000.0,GO,168
7023,2200.0,DF,2116
7024,1500.0,DF,137
7029,1800.0,DF,203
7034,1900.0,MG,129
7068,2800.0,GO,91
7105,2800.0,DF,165
7125,2400.0,DF,330
7135,5000.0,GO,18
7154,2500.0,GO,141
7248,1500.0,DF,105
7252,30000.0,DF,126
7254,1300.0,DF,150
7256,5000.0,MG,190
7322,1400.0,GO,130
7327,3000.0,SP,167
7329,2700.0,SP,193
7385,2000.0,DF,293
7392,3200.0,DF,208
7397,3000.0,GO,228
7413,867.24,GO,170
7431,2300.0,DF,2050
7436,3000.0,GO,156
7437,1500.0,DF,158
7448,6000.0,DF,2021
7479,1550.0,GO,150
7481,2000.0,GO,343
7482,3000.0,GO,2028
7486,1600.0,CE,156
7496,4000.0,CE,8
7498,3000.0,CE,135
7502,2000.0,CE,196
7503,2000.0,CE,142
7582,10000.0,AL,209
7591,2100.0,CE,162
7625,2600.0,GO,3
7740,30000.0,GO,1833
7743,6000.0,PR,1464
7744,1211.0,GO,349
7751,30000.0,GO,1833
7781,3500.0,AL,1808
7838,3600.0,AL,189
7952,2600.0,GO,1476
7957,3800.0,GO,13
7958,2200.0,GO,958
7969,3500.0,DF,12
8010,1800.0,GO,1476
8064,2300.0,GO,12
1394826,10000.0,SP,155
1394845,1000.0,SP,724
1394846,1000.0,SP,695
1394867,100000.0,SP,231
1394870,1000.0,SP,724
1394871,1000.0,SP,724
1394872,1000.0,SP,511
1394879,1000.0,AL,185
1394906,1000.0,PI,247
1394907,6800.0,PI,217
1394913,1000.0,SP,193
1394914,1000.0,SP,164
1394919,30000.0,SP,187
1394937,1000.0,SP,31
1394938,1000.0,SP,31
1394940,1000.0,SP,31
1394950,10000.0,SP,1410
1395276,3500.0,RJ,1266
1395281,1800.0,MT,138
1395300,5000.0,MT,55
1395303,1700.0,MS,203
1395306,3500.0,MT,133
1395307,3000.0,GO,77
1395309,3000.0,MS,203
1395326,3000.0,GO,584
1395327,2200.0,GO,28
1395329,2150.0,GO,2472
1395331,2600.0,GO,129
1395332,8000.0,MT,435
1395334,3800.0,GO,178
1395351,1450.0,GO,76
1395352,1900.0,GO,157
1395358,3700.0,GO,252
1395359,2400.0,BA,317
1395360,6000.0,GO,41
1395361,5000.0,GO,108
1395362,1600.0,GO,105
1395365,2500.0,GO,127
1395372,2500.0,GO,150
1396387,1900.0,GO,127
1396388,1800.0,GO,2381
1396394,1500.0,GO,265
1396395,1760.0,GO,232
1396396,1800.0,GO,130
1396398,1350.0,GO,45
1396404,2000.0,GO,144
1396406,2500.0,GO,219
1396407,1450.0,GO,720
1396409,1460.0,GO,41
1396410,2200.0,GO,155
1396412,2500.0,GO,171
1396413,2000.0,GO,1985
1396414,1896.0,GO,663
1396416,2000.0,MT,1297
1396417,5000.0,GO,290
1396421,3000.0,GO,153
1396424,3000.0,GO,190
1396425,1800.0,GO,191
1396479,3500.0,GO,157
1396480,1800.0,GO,225
1396492,1800.0,GO,2172
1396502,937.0,GO,2176
1396529,3700.0,GO,215
1396535,1000.0,GO,317
1396536,2900.0,GO,348
1396546,1300.0,GO,61
1396547,3000.0,GO,220
1396548,5000.0,GO,151
1396549,1500.0,GO,106
1396550,1500.0,GO,403
1396556,3500.0,GO,275
1396558,2600.0,GO,198
1396561,3400.0,GO,203
1396562,2300.0,GO,174
1396563,2500.0,GO,358
1396566,1200.0,GO,141
1396567,1200.0,GO,385
1396568,2500.0,GO,221
1396569,6800.0,MS,284
1396571,1250.0,GO,105
1396572,2500.0,GO,59
1396574,1800.0,GO,2385
1396575,1500.0,GO,434
1396634,2000.0,GO,130
1396636,6000.0,GO,213
1396651,1500.0,GO,133
1396655,1600.0,GO,216
1396656,2800.0,GO,95
1396661,4000.0,GO,210
1396703,1400.0,GO,235
1396706,3300.0,GO,136
1396707,4000.0,GO,198
1396728,2900.0,GO,43
1396729,2600.0,GO,32
1396737,4000.0,GO,2199
1396738,2000.0,GO,352
1396742,880.0,GO,210
1597457,4200.0,SC,739
1597499,1490.0,MG,2735
1597531,2700.0,MG,83
1597533,1000.0,SC,18
1597535,3535.0,MG,2735
1597545,724.0,MG,26
1597644,7000.0,SP,2733
1597689,2200.0,MG,170
1597693,1500.0,SP,321
1597728,1400.0,SP,144
1597736,1550.0,SP,144
1597766,2300.0,GO,50
1597770,1500.0,SP,22
1597820,5000.0,SP,2711
1597822,1235.0,MG,2711
1597831,2480.0,GO,2723
1597834,3000.0,MG,2466
1597835,4000.0,SC,143
1597839,3000.0,SC,206
1597851,3800.0,PR,175
1597903,2500.0,MG,267
1597969,2000.0,SP,357
1598015,1900.0,SP,266
1598030,5000.0,SP,569
1598048,1000.0,SP,252
1598098,788.0,BA,142
1598112,1300.0,MG,141
1598139,3000.0,SP,136
1598140,3800.0,RS,2728
1598149,3000.0,SP,282
1598151,15000.0,SC,81
1598155,2000.0,SP,294
1598173,2000.0,SP,293
1598181,2000.0,SP,197
1598187,3600.0,SP,700
1598193,12000.0,RJ,140
